"Show Title","Creator/Showrunner","Character","Role","Gender","Orientation","Species","Race","Disability","Relationship Status","Explicit/Implicit Representation","Confirmation Action 1","Confirmation Action 2","Confirmation Action 3","Finale Confirmation","Deceased","Year Released","Year Confirmed","Series Confirmation Gap","Genre 1","Genre 2","Genre 3","Rating","Common Sense Media Parent Rating Minimum","Common Sense Media Kid Rating Minimum","Rating Gap","Platform","Studio(s)","Broadcast/Cable/Streaming","Paywall"
"Cleopatra In Space","Doug Langdale, Fitzy Fitzmaurice","Theoda","Guest Character","Woman","Lesbian","Non-Human","N/A","Unknown","Married","Explicit","Parenting","Affection","","No","No","2020","2020","0","Comedy-Action","Science Fiction","Space Adventure","TV-Y7-FV","10","10","0","Peacock","DreamWorks Animation Television, Titmouse","Streaming","Yes"
"Clifford the Big Red Dog","N/A","Dr. Mulberry","Recurring Character","Cis, Woman","Lesbian","Human","POC","N/A","Married","Explicit","Parenting","","","No","No","2019","2020","1","Comedy","Slice of Life","","TV-Y","12","4","8","Amazon Prime Video, PBS Kids","Amazon Studios","Broadcast, Streaming","No"
"Clifford the Big Red Dog","N/A","Ms. Mulberry","Recurring Character","Cis, Woman","Lesbian","Human","White","N/A","Married","Explicit","Parenting","","","No","No","2019","2020","1","Comedy","Slice of Life","","TV-Y","12","4","8","Amazon Prime Video, PBS Kids","Amazon Studios","Broadcast, Streaming","No"
"Courage the Cowardly Dog","John Dilworth","Bunny","Guest Character","Woman","Unknown","Non-Human","N/A","Unknown","Single","Implicit","Social Media","Affection","","No","No","1999","2019","20","Comedy","Fantasy","Horror","TV-Y7-FV","9","8","1","Cartoon Network","Stretch Films, Inc.","Cable","Yes"
"Courage the Cowardly Dog","John Dilworth","Kitty","Guest Character","Woman","Unknown","Non-Human","N/A","Unknown","Single","Implicit","Social Media","Affection","","No","No","1999","2019","20","Comedy","Fantasy","Horror","TV-Y7-FV","9","8","1","Cartoon Network","Stretch Films, Inc.","Cable","Yes"
"Craig of the Creek","Matt Burnett, Ben Levin","Kat","Guest Character","Cis, Woman","Lesbian","Human","POC","N/A","Dating","Explicit","Romantic Partnership","","","No","No","2018","2018","0","Adventure","Comedy","Drama","TV-Y7","5","5","0","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"Craig of the Creek","Matt Burnett, Ben Levin","Merkid","Guest Character","Nonbinary","Undetermined","Human","POC","N/A","Single","Explicit","Insider Confirmation","Pronouns","","No","No","2018","2020","2","Adventure","Comedy","Drama","TV-Y7","5","5","0","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"Craig of the Creek","Matt Burnett, Ben Levin","The Secret Keeper","Guest Character","Cis, Man","Gay","Human","White","N/A","Single","Implicit","Insider Confirmation","Voice Actor","","No","No","2018","2021","3","Adventure","Comedy","Drama","TV-Y7","5","5","0","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"Craig of the Creek","Matt Burnett, Ben Levin","Pullstring","Guest Character","Agender","Undetermined","Human","White","N/A","Single","Explicit","Insider Confirmation","Pronouns","","No","No","2018","2021","3","Adventure","Comedy","Drama","TV-Y7","5","5","0","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"Craig of the Creek","Matt Burnett, Ben Levin","Kelsey Pokoly","Main Character","Cis, Woman","Lesbian","Human","White","N/A","Single","Implicit","Insider Confirmation","Affection","","No","No","2018","2021","3","Adventure","Comedy","Drama","TV-Y7","5","5","0","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"Craig of the Creek","Matt Burnett, Ben Levin","Laura Mercer","Recurring Character","Cis, Woman","Lesbian","Human","White","N/A","Dating","Explicit","Romantic Partnership","Voice Actor","","No","No","2018","2018","0","Adventure","Comedy","Drama","TV-Y7","5","5","0","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"Craig of the Creek","Matt Burnett, Ben Levin","Tabitha","Recurring Character","Cis, Woman","Lesbian","Human","White","N/A","Dating","Explicit","Kiss","Affection","","No","No","2018","2019","1","Adventure","Comedy","Drama","TV-Y7","5","5","0","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"Craig of the Creek","Matt Burnett, Ben Levin","Jasmine Williams","Recurring Character","Cis, Woman","Lesbian","Human","POC","N/A","Dating","Explicit","Romantic Partnership","Social Media","Confession","No","No","2018","2019","1","Adventure","Comedy","Drama","TV-Y7","5","5","0","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"Craig of the Creek","Matt Burnett, Ben Levin","Courtney","Recurring Character","Cis, Woman","Lesbian","Human","White","N/A","Dating","Explicit","Kiss","Affection","","No","No","2018","2019","1","Adventure","Comedy","Drama","TV-Y7","5","5","0","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"Craig of the Creek","Matt Burnett, Ben Levin","Angel Jose","Recurring Character","Agender","Queer","Human","POC","N/A","Single","Explicit","Pronouns","Social Media","Voice Actor","No","No","2018","2019","1","Adventure","Comedy","Drama","TV-Y7","5","5","0","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"Craig of the Creek","Matt Burnett, Ben Levin","Raj","Recurring Character","Cis, Man","Gay","Human","POC","N/A","Dating","Implicit","Insider Confirmation","Social Media","Affection","No","No","2018","2021","3","Adventure","Comedy","Drama","TV-Y7","5","5","0","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"Craig of the Creek","Matt Burnett, Ben Levin","Stacks","Recurring Character","Cis, Woman","Lesbian","Human","POC","N/A","Single","Implicit","Insider Confirmation","Affection","","No","No","2018","2021","3","Adventure","Comedy","Drama","TV-Y7","5","5","0","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"Craig of the Creek","Matt Burnett, Ben Levin","Shawn","Recurring Character","Cis, Man","Gay","Human","White","N/A","Dating","Implicit","Insider Confirmation","Social Media","Affection","No","No","2018","2021","3","Adventure","Comedy","Drama","TV-Y7","5","5","0","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"Danger & Eggs","Mike Owens, Shadi Petosky","Corporate Raider Emanual","Guest Character","Unknown","Unknown","Human","White","N/A","Married","Explicit","Parenting","Voice Actor","","Yes","No","2017","2017","0","Adventure","Comedy","Fantasy","TV-G","6","9","-3","Amazon Prime Video","PUNY Entertainment, Amazon Studios","Streaming","Yes"
"Danger & Eggs","Mike Owens, Shadi Petosky","Rad","Guest Character","Cis, Woman","Queer","Human","White","N/A","Dating","Implicit","Character Proximity","Voice Actor","","No","No","2017","2017","0","Adventure","Comedy","Fantasy","TV-G","6","9","-3","Amazon Prime Video","PUNY Entertainment, Amazon Studios","Streaming","Yes"
"Danger & Eggs","Mike Owens, Shadi Petosky","Corporate Raider Gary","Guest Character","Unknown","Unknown","Human","White","N/A","Married","Explicit","Parenting","Voice Actor","","Yes","No","2017","2017","0","Adventure","Comedy","Fantasy","TV-G","6","9","-3","Amazon Prime Video","PUNY Entertainment, Amazon Studios","Streaming","Yes"
"Danger & Eggs","Mike Owens, Shadi Petosky","Sweet","Guest Character","Nonbinary","Undetermined","Human","White","N/A","Dating","Implicit","Character Proximity","Voice Actor","","No","No","2017","2017","0","Adventure","Comedy","Fantasy","TV-G","6","9","-3","Amazon Prime Video","PUNY Entertainment, Amazon Studios","Streaming","Yes"
"Danger & Eggs","Mike Owens, Shadi Petosky","Milo","Guest Character","Nonbinary","Undetermined","Human","POC","N/A","Single","Explicit","Pronouns","Creative Team Interview","Voice Actor","Yes","No","2017","2017","0","Adventure","Comedy","Fantasy","TV-G","6","9","-3","Amazon Prime Video","PUNY Entertainment, Amazon Studios","Streaming","Yes"
"Danger & Eggs","Mike Owens, Shadi Petosky","Zadie","Guest Character","Trans, Woman","Undetermined","Human","POC","N/A","Single","Explicit","Creative Team Interview","Voice Actor","LGBTQ Cultural Events","Yes","No","2017","2017","0","Adventure","Comedy","Fantasy","TV-G","6","9","-3","Amazon Prime Video","PUNY Entertainment, Amazon Studios","Streaming","Yes"
"Danger & Eggs","Mike Owens, Shadi Petosky","Layla","Guest Character","Cis, Woman","Queer","Human","POC","Neurodivergent","Single","Implicit","Insider Confirmation","Voice Actor","","No","No","2017","2021","4","Adventure","Comedy","Fantasy","TV-G","6","9","-3","Amazon Prime Video","PUNY Entertainment, Amazon Studios","Streaming","Yes"
"Danger & Eggs","Mike Owens, Shadi Petosky","D.D. Danger","Main Character","Masc","Queer","Human","White","ADHD/Asthma","Single","Explicit","Creative Team Interview","Romantic Gestures","Affection","Yes","No","2017","2017","0","Adventure","Comedy","Fantasy","TV-G","6","9","-3","Amazon Prime Video","PUNY Entertainment, Amazon Studios","Streaming","Yes"
"Danger & Eggs","Mike Owens, Shadi Petosky","Reina","Recurring Character","Cis, Woman","Queer","Human","POC","N/A","Single","Explicit","Creative Team Interview","Affection","Voice Actor","No","No","2017","2017","0","Adventure","Comedy","Fantasy","TV-G","6","9","-3","Amazon Prime Video","PUNY Entertainment, Amazon Studios","Streaming","Yes"
"Danger & Eggs","Mike Owens, Shadi Petosky","Gomez","Recurring Character","Cis, Man","Gay","Human","POC","N/A","Single","Implicit","Insider Confirmation","Voice Actor","LGBTQ Cultural References","No","No","2017","2021","4","Adventure","Comedy","Fantasy","TV-G","6","9","-3","Amazon Prime Video","PUNY Entertainment, Amazon Studios","Streaming","Yes"
"Danger & Eggs","Mike Owens, Shadi Petosky","The Mayor","Recurring Character","Trans, Woman","Undetermined","Human","POC","N/A","Single","Implicit","Insider Confirmation","Voice Actor","LGBTQ Cultural Events","No","No","2017","2021","4","Adventure","Comedy","Fantasy","TV-G","6","9","-3","Amazon Prime Video","PUNY Entertainment, Amazon Studios","Streaming","Yes"
"Danger & Eggs","Mike Owens, Shadi Petosky","BL1P","Recurring Character","Nonbinary","Undetermined","Non-Human","N/A","N/A","Single","Implicit","Insider Confirmation","Voice Actor","Figure of Speech","No","No","2017","2021","4","Adventure","Comedy","Fantasy","TV-G","6","9","-3","Amazon Prime Video","PUNY Entertainment, Amazon Studios","Streaming","Yes"
"Dawn of the Croods","Brendan Hay","Loo","Recurring Character","Cis, Man","Gay","Human","POC","N/A","Dating","Explicit","Kiss","Character Proximity","","Yes","No","2015","2017","2","Adventure","Comedy","Family","TV-Y7","6","7","-1","Netflix","DreamWorks Animation Television","Streaming","Yes"
"Dawn of the Croods","Brendan Hay","Wal","Recurring Character","Cis, Man","Gay","Human","POC","N/A","Dating","Explicit","Kiss","Character Proximity","","Yes","No","2015","2017","2","Adventure","Comedy","Family","TV-Y7","6","7","-1","Netflix","DreamWorks Animation Television","Streaming","Yes"
"DC Super Hero Girls","Lauren Faust","Siobhan Cruz","Guest Character","Cis, Woman","Unknown","Human","POC","N/A","Married","Explicit","Parenting","","","No","No","2019","2020","1","Action","Comedy","Science Fiction","TV-PG","14","10","4","Cartoon Network","DC Entertainment, Warner Bros. Animation","Cable","Yes"
"DC Super Hero Girls","Lauren Faust","Mrs. Cruz","Guest Character","Cis, Woman","Unknown","Human","Unknown","N/A","Married","Explicit","Parenting","","","No","No","2019","2020","1","Action","Comedy","Science Fiction","TV-PG","14","10","4","Cartoon Network","DC Entertainment, Warner Bros. Animation","Cable","Yes"
"Dexter's Laboratory","Genndy Tartakovsky","Silver Spooner","Guest Character","Man","Unknown","Non-Human","N/A","N/A","Single","Implicit","LGBTQ Cultural References","","","No","No","1996","1996","0","Adventure","Comedy","Science Fiction","TV-G","8","7","1","Cartoon Network","Cartoon Network Studios, Hanna-Barbera Productions","Cable","Yes"
"Doc McStuffins","Chris Nee","Thea","Guest Character","Cis, Woman","Lesbian","Human","POC","N/A","Married","Explicit","Parenting","Voice Actor","","No","No","2012","2017","5","Family","Fantasy","Musical","TV-Y","3","3","0","Disney Junior","Brown Bag Films","Cable","Yes"
"Doc McStuffins","Chris Nee","Edie","Guest Character","Cis, Woman","Lesbian","Human","White","N/A","Married","Explicit","Parenting","Voice Actor","","No","No","2012","2017","5","Family","Fantasy","Musical","TV-Y","3","3","0","Disney Junior","Brown Bag Films","Cable","Yes"
"DreamWorks Dragons","Linda Teverbaugh, Mike Teverbaugh","Gobber","Supporting Character","Cis, Man","Gay","Human","White","Amputee/Limb Difference","Single","Implicit","Creative Team Interview","Companion Material","","No","No","2012","2019","7","Adventure","Comedy","Fantasy","TV-Y7-FV","N/A","N/A","#VALUE!","Cartoon Network, Netflix","DreamWorks Animation Television","Cable","Yes"
"DuckTales","Matt Youngberg, FraNoco Angones","Ty Sabrewing","Guest Character","Man","Unknown","Non-Human","N/A","Unknown","Married","Explicit","Parenting","","","No","No","2017","2019","3","Adventure","Comedy","Mystery","TV-Y7","6","6","0","Disney Channel, Disney XD","Disney Television Animation","Cable","Yes"
"DuckTales","Matt Youngberg, FraNoco Angones","Indy Sabrewing","Guest Character","Man","Unknown","Non-Human","N/A","Unknown","Married","Explicit","Parenting","","","No","No","2017","2019","2","Adventure","Comedy","Mystery","TV-Y7","6","6","0","Disney Channel, Disney XD","Disney Television Animation","Cable","Yes"
"DuckTales","Matt Youngberg, FraNoco Angones","Penumbra","Recurring Character","Woman","Lesbian","Non-Human","N/A","Unknown","Single","Implicit","Social Media","Romantic Rejection/Avoidance","","No","No","2019","2020","1","Adventure","Comedy","Mystery","TV-Y7","6","6","0","Disney Channel, Disney XD","Disney Television Animation","Cable","Yes"
"Ever After High","Mattel","Darling Charming","Recurring Character","Cis, Woman","Unknown","Human","White","N/A","Single","Explicit","Insider Confirmation","Kiss","","No","No","2013","2016","3","Adventure","Fantasy","Romance","TV-G","9","9","0","Ever After High YouTube Channel, Netflix","Mattel Playground Productions","Streaming","Yes"
"Ever After High","Mattel","Apple White","Supporting Character","Cis, Woman","Unknown","Human","White","N/A","Single","Explicit","Insider Confirmation","Kiss","","No","No","2013","2016","3","Adventure","Fantasy","Romance","TV-G","9","9","0","Ever After High YouTube Channel, Netflix","Mattel Playground Productions","Streaming","Yes"
"Fast and Furious: Spy Racers","Tim Hedrick, Bret Haaland","Tiffany Benson","Recurring Character","Cis, Woman","Lesbian","Human","POC","N/A","Married","Explicit","Insider Confirmation","Parenting","","No","No","2019","2019","0","Action","Adventure","Crime","TV-Y7-FV","7","9","-2","Netflix","DreamWorks Animation Television, Universal Pictures","Streaming","Yes"
"Fast and Furious: Spy Racers","Tim Hedrick, Bret Haaland","Wanda Benson","Recurring Character","Cis, Woman","Lesbian","Human","POC","N/A","Married","Explicit","Insider Confirmation","Parenting","","No","No","2019","2019","0","Action","Adventure","Crime","TV-Y7-FV","7","9","-2","Netflix","DreamWorks Animation Television, Universal Pictures","Streaming","Yes"
"Gargoyles","Greg Weisman","Puck/Owen Burnett","Recurring Character","Genderfluid","Polysexual","Non-Human","N/A","N/A","Single","Implicit","Social Media","Creative Team Interview","","No","No","1994","2014","20","Crime","Drama","Fantasy","TV-Y7","9","9","0","ABC Kids, Disney Afternoon","Disney Television Animation, Nelvana","Broadcast","No"
"Gargoyles","Greg Weisman","Janine Renard/Fox","Recurring Character","Cis, Woman","Bisexual","Human-Hybrid","White","N/A","Married","Implicit","Social Media","Creative Team Interview","","No","No","1994","2014","20","Crime","Drama","Fantasy","TV-Y7","9","9","0","ABC Kids, Disney Afternoon","Disney Television Animation, Nelvana","Broadcast","No"
"Gargoyles","Greg Weisman","Lexington","Supporting Character","Man","Gay","Non-Human","N/A","N/A","Single","Implicit","Creative Team Interview","Social Media","","No","No","1994","2008","14","Crime","Drama","Fantasy","TV-Y7","9","9","0","ABC Kids, Disney Afternoon","Disney Television Animation, Nelvana","Broadcast","No"
"George and Martha","James Marshall","Oscar","Supporting Character","Man","Gay","Non-Human","N/A","Blurred Vision","Dating","Explicit","Character Proximity","LGBTQ Cultural References","Marketing","No","No","1999","1999","0","Comedy","Family","","TV-Y","N/A","2","#VALUE!","HBO Family","Nelvana, Wild Things Productions","Cable","Yes"
"George and Martha","James Marshall","Wilde","Supporting Character","Man","Gay","Non-Human","N/A","Unknown","Dating","Explicit","Character Proximity","LGBTQ Cultural References","Marketing","No","No","1999","1999","0","Comedy","Family","","TV-Y","N/A","2","#VALUE!","HBO Family","Nelvana, Wild Things Productions","Cable","Yes"
"Gravity Falls","Alexander Robert Hirsch","Deputy Durland","Recurring Character","Cis, Man","Unknown","Human","White","Unknown","Dating","Explicit","Confession","Affection","Creative Team Interview","Yes","No","2012","2016","4","Adventure","Comedy","Mystery-Thriller","TV-Y7","9","8","1","Disney Channel, Disney XD","Disney Television Animation","Cable","Yes"
"Gravity Falls","Alexander Robert Hirsch","Sheriff Blubs","Supporting Character","Cis, Man","Unknown","Human","POC","Unknown","Dating","Explicit","Confession","Affection","Creative Team Interview","Yes","No","2012","2016","4","Adventure","Comedy","Mystery-Thriller","TV-Y7","9","8","1","Disney Channel, Disney XD","Disney Television Animation","Cable","Yes"
"Gravity Falls","Alexander Robert Hirsch","Wendy Corduroy","Supporting Character","Cis, Woman","Bisexual","Human","White","Unknown","Single","Implicit","Social Media","","","No","No","2012","2020","8","Adventure","Comedy","Mystery-Thriller","TV-Y7","9","8","1","Disney Channel, Disney XD","Disney Television Animation","Cable","Yes"
"Hey Arnold!","Craig Michael Bartlett","Peter","Guest Character","Cis, Man","Gay","Human","White","Unknown","Dating","Implicit","Creative Team Interview","Character Proximity","Figure of Speech","No","No","1996","2016","20","Comedy","Drama","Family","TV-Y7","8","7","1","Nickelodeon","Snee-Osh Productions, Nickelodeon Animation Studio","Cable","Yes"
"Hey Arnold!","Craig Michael Bartlett","Eugene Horowitz","Recurring Character","Cis, Man","Gay","Human","White","Unknown","Single","Implicit","Creative Team Interview","","","No","No","1996","2016","20","Comedy","Drama","Family","TV-Y7","8","7","1","Nickelodeon","Snee-Osh Productions, Nickelodeon Animation Studio","Cable","Yes"
"Hey Arnold!","Craig Michael Bartlett","Robert Simmons","Recurring Character","Cis, Man","Gay","Human","White","Unknown","Dating","Implicit","Creative Team Interview","Character Proximity","","No","No","1996","2016","20","Comedy","Drama","Family","TV-Y7","8","7","1","Nickelodeon","Snee-Osh Productions, Nickelodeon Animation Studio","Cable","Yes"
"Kipo and the Age of Wonderbeasts","Radford Sechrist, Bill Wolkoff","Benson","Main Character","Cis, Man","Gay","Human","POC","N/A","Dating","Explicit","Identity in Dialogue","Kiss","Romantic Partnership","No","No","2020","2020","0","Action","Adventure","Science Fantasy","TV-Y7","7","7","0","Netflix","DreamWorks Animation Television","Streaming","Yes"
"Kipo and the Age of Wonderbeasts","Radford Sechrist, Bill Wolkoff","Troy","Recurring Character","Cis, Man","Gay","Human","POC","N/A","Dating","Explicit","Identity in Dialogue","Kiss","Romantic Partnership","No","No","2020","2020","0","Action","Adventure","Science Fantasy","TV-Y7","7","7","0","Netflix","DreamWorks Animation Television","Streaming","Yes"
"Kipo and the Age of Wonderbeasts","Radford Sechrist, Bill Wolkoff","Asher Berdacs","Recurring Character","Nonbinary","Undetermined","Human","Undetermined","N/A","Single","Implicit","Social Media","","","No","No","2020","2020","0","Action","Adventure","Science Fantasy","TV-Y7","7","7","0","Netflix","DreamWorks Animation Television","Streaming","Yes"
"Lloyd in Space","Joe Ansolabehere, Paul Germain","Zoit","Guest Character","Agender","Undetermined","Non-Human","N/A","N/A","Single","Explicit","Identity in Dialogue","Pronouns","","No","No","2001","2021","20","Adventure","Comedy","Science Fiction","TV-Y7","11","12","-1","ABC Kids, Toon Disney","Disney Television Animation","Broadcast","No"
"Middle School Moguls","Gina and Jenae Heitkamp","Yuna's Mom 2","Guest Character","Cis, Woman","Unknown","Human","White","Unknown","Married","Explicit","Parenting","","","No","No","2019","2019","0","Adventure","Comedy","","TV-Y7","10","6","4","Nickelodeon","Gengirl Media, Nickelodeon Animation Studio","Cable","Yes"
"Middle School Moguls","Gina and Jenae Heitkamp","Yuna's Mom 1","Guest Character","Cis, Woman","Unknown","Human","POC","Unknown","Married","Explicit","Parenting","","","No","No","2019","2019","0","Adventure","Comedy","","TV-Y7","10","6","4","Nickelodeon","Gengirl Media, Nickelodeon Animation Studio","Cable","Yes"
"Middle School Moguls","Gina and Jenae Heitkamp","Wren","Guest Character","Nonbinary","Unknown","Human","White","Blurred Vision","Single","Explicit","Marketing","","","No","No","2019","2019","0","Adventure","Comedy","","TV-Y7","10","6","4","Nickelodeon","Gengirl Media, Nickelodeon Animation Studio","Cable","Yes"
